1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         174.13          ---          ---      3.17800       181.00
Gets         174.13       173.78         0.35      2.54700       182.57
Waits          0.00          ---          ---      0.00000          ---
Totals       348.26       173.78         0.35      2.86200       363.57


Request Latency Distribution
Type     <= msec         Percent
SET       2.900        48.61
SET       3.000        54.96
SET       3.100        60.13
SET       3.200        64.82
SET       3.300        69.33
SET       3.400        73.24
SET       3.500        76.77
SET       3.600        79.78
SET       3.700        82.22
SET       3.800        84.48
SET       3.900        86.71
SET       4.000        88.60
SET       4.100        89.95
SET       4.200        91.16
SET       4.300        92.04
SET       4.400        92.72
SET       4.500        93.54
SET       4.600        94.25
SET       4.700        94.77
SET       4.800        95.25
SET       4.900        95.70
SET       5.000        96.11
SET       5.100        96.37
SET       5.200        96.59
SET       5.300        96.87
SET       5.400        97.00
SET       5.500        97.17
SET       5.600        97.38
SET       5.700        97.54
SET       5.800        97.71
SET       5.900        97.85
SET       6.000        97.97
SET       6.100        98.08
SET       6.200        98.18
SET       6.300        98.27
SET       6.400        98.34
SET       6.500        98.42
SET       6.600        98.52
SET       6.700        98.57
SET       6.800        98.65
SET       6.900        98.73
SET       7.000        98.77
SET       7.100        98.78
SET       7.200        98.83
SET       7.300        98.87
SET       7.400        98.90
SET       7.500        98.94
SET       7.600        98.95
SET       7.700        98.97
SET       7.800        99.00
SET       7.900        99.01
SET       8.000        99.04
SET       8.100        99.08
SET       8.200        99.11
SET       8.300        99.12
SET       8.600        99.13
SET       8.700        99.17
SET       8.800        99.18
SET       8.900        99.23
SET       9.000        99.25
SET       9.100        99.30
SET       9.200        99.31
SET       9.300        99.34
SET       9.400        99.40
SET       9.500        99.43
SET       9.600        99.45
SET       9.700        99.47
SET       9.800        99.48
SET       9.900        99.55
SET      10.000        99.67
SET      11.000        99.77
SET      12.000        99.78
SET      13.000        99.81
SET      17.000        99.82
SET      19.000        99.84
SET      20.000        99.85
SET      21.000        99.86
SET      22.000        99.87
SET      24.000        99.91
SET      25.000        99.92
SET      26.000        99.95
SET      33.000        99.97
SET      35.000        99.98
SET      43.000        99.99
SET      47.000       100.00
---
GET       2.100         0.08
GET       2.200         0.76
GET       2.300         3.09
GET       2.400         6.92
GET       2.500        13.10
GET       2.600        20.08
GET       2.700        27.64
GET       2.800        35.00
GET       2.900        41.51
GET       3.000        48.41
GET       3.100        54.63
GET       3.200        60.03
GET       3.300        65.50
GET       3.400        69.84
GET       3.500        73.62
GET       3.600        76.98
GET       3.700        80.20
GET       3.800        82.67
GET       3.900        84.99
GET       4.000        87.38
GET       4.100        88.90
GET       4.200        90.26
GET       4.300        91.33
GET       4.400        92.42
GET       4.500        93.14
GET       4.600        93.85
GET       4.700        94.48
GET       4.800        95.05
GET       4.900        95.53
GET       5.000        95.97
GET       5.100        96.35
GET       5.200        96.71
GET       5.300        96.91
GET       5.400        97.05
GET       5.500        97.28
GET       5.600        97.46
GET       5.700        97.61
GET       5.800        97.75
GET       5.900        97.92
GET       6.000        97.98
GET       6.100        98.08
GET       6.200        98.21
GET       6.300        98.27
GET       6.400        98.33
GET       6.500        98.47
GET       6.600        98.53
GET       6.700        98.58
GET       6.800        98.62
GET       6.900        98.67
GET       7.000        98.72
GET       7.100        98.74
GET       7.200        98.80
GET       7.300        98.81
GET       7.400        98.84
GET       7.500        98.86
GET       7.600        98.89
GET       7.700        98.95
GET       7.800        98.98
GET       7.900        99.04
GET       8.000        99.11
GET       8.100        99.14
GET       8.200        99.19
GET       8.300        99.22
GET       8.400        99.25
GET       8.500        99.29
GET       8.600        99.30
GET       8.700        99.33
GET       8.800        99.35
GET       8.900        99.37
GET       9.000        99.41
GET       9.100        99.44
GET       9.300        99.45
GET       9.400        99.48
GET       9.500        99.53
GET       9.600        99.56
GET       9.700        99.57
GET       9.800        99.60
GET       9.900        99.63
GET      10.000        99.75
GET      11.000        99.84
GET      12.000        99.86
GET      13.000        99.88
GET      14.000        99.89
GET      15.000        99.90
GET      16.000        99.91
GET      17.000        99.93
GET      18.000        99.96
GET      21.000        99.98
GET      37.000        99.99
GET      61.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         148.70          ---          ---      3.27800       154.56
Gets         148.68      1334.06         4.08      3.42100      1389.99
Waits          0.00          ---          ---      0.00000          ---
Totals       297.38      1334.06         4.08      3.35000      1544.56


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.06
SET       2.100         0.47
SET       2.200         2.47
SET       2.300         6.66
SET       2.400        12.50
SET       2.500        19.26
SET       2.600        26.20
SET       2.700        33.98
SET       2.800        41.27
SET       2.900        47.65
SET       3.000        54.40
SET       3.100        59.67
SET       3.200        64.68
SET       3.300        69.02
SET       3.400        72.95
SET       3.500        76.42
SET       3.600        79.76
SET       3.700        82.35
SET       3.800        84.54
SET       3.900        86.61
SET       4.000        88.37
SET       4.100        89.71
SET       4.200        91.01
SET       4.300        92.27
SET       4.400        93.20
SET       4.500        93.68
SET       4.600        94.15
SET       4.700        94.74
SET       4.800        95.08
SET       4.900        95.39
SET       5.000        95.72
SET       5.100        96.04
SET       5.200        96.35
SET       5.300        96.55
SET       5.400        96.77
SET       5.500        96.93
SET       5.600        97.11
SET       5.700        97.25
SET       5.800        97.40
SET       5.900        97.58
SET       6.000        97.72
SET       6.100        97.84
SET       6.200        97.89
SET       6.300        97.96
SET       6.400        98.03
SET       6.500        98.12
SET       6.600        98.18
SET       6.700        98.23
SET       6.800        98.29
SET       6.900        98.36
SET       7.000        98.46
SET       7.100        98.49
SET       7.200        98.54
SET       7.300        98.58
SET       7.400        98.60
SET       7.500        98.61
SET       7.600        98.70
SET       7.700        98.74
SET       7.800        98.79
SET       7.900        98.82
SET       8.000        98.86
SET       8.100        98.88
SET       8.200        98.92
SET       8.300        98.94
SET       8.400        98.97
SET       8.500        99.01
SET       8.600        99.05
SET       8.700        99.07
SET       8.800        99.11
SET       8.900        99.18
SET       9.000        99.24
SET       9.100        99.27
SET       9.200        99.28
SET       9.300        99.34
SET       9.400        99.35
SET       9.600        99.37
SET       9.700        99.42
SET       9.900        99.46
SET      10.000        99.54
SET      11.000        99.60
SET      12.000        99.66
SET      13.000        99.69
SET      14.000        99.72
SET      15.000        99.73
SET      16.000        99.74
SET      17.000        99.78
SET      18.000        99.79
SET      19.000        99.81
SET      21.000        99.85
SET      22.000        99.88
SET      23.000        99.90
SET      24.000        99.91
SET      25.000        99.92
SET      27.000        99.93
SET      31.000        99.94
SET      32.000        99.97
SET      33.000        99.98
SET      35.000        99.99
SET      74.000       100.00
---
GET       2.100         0.01
GET       2.200         0.18
GET       2.300         1.31
GET       2.400         4.27
GET       2.500         8.98
GET       2.600        14.75
GET       2.700        22.08
GET       2.800        29.32
GET       2.900        36.17
GET       3.000        43.47
GET       3.100        50.08
GET       3.200        55.92
GET       3.300        61.41
GET       3.400        66.46
GET       3.500        70.56
GET       3.600        74.33
GET       3.700        77.76
GET       3.800        80.60
GET       3.900        83.35
GET       4.000        85.72
GET       4.100        87.75
GET       4.200        89.56
GET       4.300        90.88
GET       4.400        91.70
GET       4.500        92.51
GET       4.600        93.24
GET       4.700        93.77
GET       4.800        94.40
GET       4.900        94.89
GET       5.000        95.25
GET       5.100        95.47
GET       5.200        95.82
GET       5.300        96.07
GET       5.400        96.48
GET       5.500        96.68
GET       5.600        96.92
GET       5.700        97.15
GET       5.800        97.37
GET       5.900        97.43
GET       6.000        97.57
GET       6.100        97.75
GET       6.200        97.83
GET       6.300        97.95
GET       6.400        98.05
GET       6.500        98.14
GET       6.600        98.22
GET       6.700        98.28
GET       6.800        98.35
GET       6.900        98.42
GET       7.000        98.50
GET       7.100        98.57
GET       7.200        98.60
GET       7.300        98.63
GET       7.400        98.73
