Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Thread 11 ,2322092.0,2174695.92,2117251.98,2280943.411764706,2799658.588235294,3601641.0392156863,3503701.8039215687
Thread std 11 ,172891.00135923788,118940.39393641072,77086.35818736951,172928.75370951774,214728.64188851716,355113.64337969106,344641.46667341236
Thread 12 ,2092116.6666666667,2237265.88,2107288.46,2272445.862745098,2793936.31372549,3577189.3921568627,3500905.8039215687
Thread std 12 ,127615.24990506948,197383.34540495207,70441.71160212636,169915.31063797863,210978.88343542727,344675.5143630066,369643.28450326377
Thread 13 ,2138083.0,2186963.68,2114414.9,2262710.568627451,2803149.431372549,3603788.254901961,3511433.3921568627
Thread std 13 ,81179.89320638454,132097.98963114232,80811.2671327584,153281.84056492208,234151.17386750423,348647.9821641217,432242.0292128047
Thread 14 ,2061823.6666666667,2214899.54,2117066.88,2241810.098039216,2831464.901960784,3559934.0588235296,3504885.9215686275
Thread std 14 ,84644.9342626795,170815.94772596256,68581.04453012106,151312.78560415903,232746.1649205206,321679.4882233812,389914.63900432584
Thread 15 ,2070789.0,2181011.64,2119372.86,2255911.568627451,2792068.411764706,3578009.725490196,3490834.5490196077
Thread std 15 ,71213.04601686407,145459.89649577517,76462.99338442442,142895.47684391623,221511.26594366945,359600.5857257787,384394.5462235027
Thread 16 ,2085408.6666666667,2174990.9,2114435.58,2280578.6078431373,2818645.156862745,3576954.843137255,3516086.1960784313
Thread std 16 ,72321.01136138331,106198.95682627865,71493.46897761118,187683.8869139361,230417.0950843164,322475.4096953982,381143.8780037806
Thread 17 ,2122144.6666666665,2188619.7,2128708.7,2272421.9215686275,2787478.1960784313,3561650.8039215687,3519058.0392156863
Thread std 17 ,64064.14545073815,156675.27954811376,99503.65807638246,177147.71356219565,226497.09165408896,320101.5680480194,408286.13932294893
Thread 18 ,2041154.0,2196461.7,2126636.48,2291860.843137255,2801885.843137255,3572828.0196078434,3502436.6274509802
Thread std 18 ,21734.20895730967,150434.76287899414,83511.105822419,195890.96348911786,223452.82503699727,351081.234613956,367305.0395586187
Thread 19 ,2080260.3333333333,2190939.12,2125448.46,2285362.4901960786,2812637.6666666665,3570301.0784313725,3500695.843137255
Thread std 19 ,18093.32369503551,134961.80754457755,79706.00106416845,154976.48283779994,231702.2914361156,339657.3457247079,380173.7776619725
Thread 20 ,2072551.0,2190871.62,2130562.96,2268473.411764706,2779236.862745098,3550707.745098039,3517785.0
Thread std 20 ,67399.71715816025,120598.11284422052,94330.55908205497,154794.106144023,208980.26225392864,335671.5604293485,400102.95469286403
Thread 21 ,2038769.0,2190053.24,2112915.22,2261271.0196078434,2821096.529411765,3577795.9803921566,3499141.9607843137
Thread std 21 ,19597.9420348158,124450.52228497255,73893.48376542704,165084.26237645917,237404.51746345122,345583.70506848214,388976.0915252227
Thread 22 ,2070589.0,2202276.76,2102266.4,2265801.1764705884,2780783.0588235296,3567600.1960784313,3504020.2352941176
Thread std 22 ,49385.997570161526,121394.42765235671,60274.57275007497,143919.1048732177,208635.03223710172,347323.8183228452,406262.63045973546
Thread 23 ,2069889.0,2200990.74,2126732.0,2263642.5490196077,2776312.901960784,3575916.294117647,3499564.882352941
Thread std 23 ,10590.012086867513,183407.47859096224,79378.36467739269,159758.01941089708,235776.14214370842,344477.98676596413,457233.54232709773
Thread 24 ,2115213.6666666665,2209325.12,2115537.56,2273724.568627451,2803120.4901960786,3565952.6274509802,3499418.431372549
Thread std 24 ,42758.13731131576,155526.22762771478,57050.209403167886,161005.54815462165,234509.8254555977,336898.0103681208,382198.55553192535
Thread 25 ,2128414.3333333335,2222215.46,2119683.1,2275568.0784313725,2773043.254901961,3553707.274509804,3513633.0784313725
Thread std 25 ,69741.92238054048,206092.57088326567,77834.47348038906,176661.37028732037,228048.20389574158,343639.63321712933,364568.1262734768
Thread 26 ,2052155.6666666667,2224844.68,2105111.54,2280493.411764706,2823023.2156862747,3570784.7843137253,3527526.0392156863
Thread std 26 ,89243.19819646388,155477.07115965788,59817.554532881775,208174.9451432786,230701.24590502874,347449.7439893898,461062.5385177573
Thread 27 ,2149196.3333333335,2176384.18,2111108.58,2293353.7843137253,2805853.254901961,3579157.411764706,3524896.843137255
Thread std 27 ,99429.11588832183,129242.42289047195,65663.2672939594,167846.09703097818,225130.33017999536,361895.1792288025,435040.0444951877
Thread 28 ,2156005.6666666665,2202185.26,2118499.8,2268676.68627451,2787649.6470588236,3591124.431372549,3519384.4509803923
Thread std 28 ,101493.12166020578,128559.2932850497,70477.48422332467,199784.0455036878,232849.2760008348,350690.43462388625,394504.80900842336
Thread 29 ,2032990.3333333333,2238340.3,2122065.96,2266546.294117647,2802898.0392156863,3572996.725490196,3491649.5490196077
Thread std 29 ,34848.144704321545,215895.37540511685,80383.8138166674,214528.14781406138,219304.2642763666,324229.00784421363,369822.29354133393
Thread 30 ,2032236.0,2199485.3,2111349.24,2288720.3333333335,2794255.4901960786,3581547.0196078434,3520601.745098039
Thread std 30 ,51567.66207615001,173660.45071912426,69336.18376816726,173820.8802267054,209253.31477903738,351553.9594864202,448457.21222965483
Thread 31 ,2167254.3333333335,2206822.32,2123911.68,2255685.117647059,2815895.1960784313,3613426.568627451,3521289.3529411764
Thread std 31 ,66399.164093634,168348.69064502852,89099.35784221742,130685.41640851086,225166.2103116735,362137.1582275011,423372.60472004197
