1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          28.32          ---          ---      3.94200        29.43
Gets         283.00       278.27         4.73      3.12800       292.44
Waits          0.00          ---          ---      0.00000          ---
Totals       311.31       278.27         4.73      3.20200       321.88


Request Latency Distribution
Type     <= msec         Percent
GET       9.100        99.63
GET       9.200        99.64
GET       9.300        99.66
GET       9.500        99.67
GET       9.700        99.68
GET       9.800        99.71
GET      10.000        99.75
GET      11.000        99.81
GET      12.000        99.82
GET      13.000        99.87
GET      14.000        99.88
GET      15.000        99.89
GET      16.000        99.89
GET      18.000        99.90
GET      22.000        99.91
GET      23.000        99.95
GET      27.000        99.96
GET      28.000        99.97
GET      30.000        99.98
GET      31.000        99.99
GET      32.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          94.56          ---          ---      3.94600        98.29
Gets         189.11       929.68        15.93      3.29700       969.66
Waits          0.00          ---          ---      0.00000          ---
Totals       283.67       929.68        15.93      3.51300      1067.95


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.46
SET       3.200         3.42
SET       3.300        10.79
SET       3.400        21.75
SET       3.500        34.63
SET       3.600        46.62
SET       3.700        57.07
SET       3.800        66.00
SET       3.900        72.66
SET       4.000        78.55
SET       4.100        82.38
SET       4.200        85.48
SET       4.300        87.87
SET       4.400        89.43
SET       4.500        90.64
SET       4.600        91.93
SET       4.700        92.63
SET       4.800        93.46
SET       4.900        94.17
SET       5.000        94.71
SET       5.100        94.96
SET       5.200        95.28
SET       5.300        95.54
SET       5.400        95.84
SET       5.500        96.11
SET       5.600        96.26
SET       5.700        96.46
SET       5.800        96.58
SET       5.900        96.79
SET       6.000        97.04
SET       6.100        97.14
SET       6.200        97.25
SET       6.300        97.37
SET       6.400        97.50
SET       6.500        97.62
SET       6.600        97.78
SET       6.700        97.81
SET       6.800        97.96
SET       6.900        98.04
SET       7.000        98.10
SET       7.100        98.15
SET       7.200        98.22
SET       7.300        98.29
SET       7.400        98.33
SET       7.500        98.34
SET       7.700        98.43
SET       7.800        98.55
SET       7.900        98.61
SET       8.000        98.66
SET       8.100        98.75
SET       8.200        98.85
SET       8.300        98.91
SET       8.600        99.00
SET       8.700        99.03
SET       8.800        99.08
SET       8.900        99.10
SET       9.000        99.14
SET       9.100        99.17
SET       9.200        99.19
SET       9.300        99.22
SET       9.400        99.26
SET       9.500        99.28
SET       9.600        99.31
SET       9.900        99.33
SET      10.000        99.49
SET      11.000        99.54
SET      12.000        99.59
SET      13.000        99.61
SET      14.000        99.68
SET      15.000        99.70
SET      16.000        99.75
SET      18.000        99.79
SET      20.000        99.81
SET      21.000        99.84
SET      22.000        99.86
SET      24.000        99.91
SET      25.000        99.93
SET      28.000        99.95
SET      30.000        99.96
SET      32.000        99.98
SET      35.000       100.00
---
GET       1.600         0.01
GET       1.700         0.12
GET       1.800         0.80
GET       1.900         2.41
GET       2.000         4.90
GET       2.100         8.20
GET       2.200        12.11
GET       2.300        16.56
GET       2.400        21.13
GET       2.500        24.91
GET       2.600        27.95
GET       2.700        30.54
GET       2.800        32.47
GET       2.900        34.69
GET       3.000        37.81
GET       3.100        42.04
GET       3.200        47.24
GET       3.300        53.36
GET       3.400        60.05
GET       3.500        66.43
GET       3.600        72.38
GET       3.700        77.35
GET       3.800        81.50
GET       3.900        85.06
GET       4.000        88.41
GET       4.100        90.50
GET       4.200        92.43
GET       4.300        93.61
GET       4.400        94.67
GET       4.500        95.42
GET       4.600        95.97
GET       4.700        96.38
GET       4.800        96.73
GET       4.900        96.93
GET       5.000        97.26
GET       5.100        97.47
GET       5.200        97.59
GET       5.300        97.71
GET       5.400        97.82
GET       5.500        97.94
GET       5.600        98.04
GET       5.700        98.12
GET       5.800        98.19
GET       5.900        98.25
GET       6.000        98.32
GET       6.100        98.40
GET       6.200        98.47
GET       6.300        98.54
GET       6.400        98.60
GET       6.500        98.63
GET       6.600        98.70
GET       6.700        98.75
GET       6.800        98.77
GET       6.900        98.81
GET       7.000        98.84
GET       7.100        98.92
GET       7.200        98.93
GET       7.300        98.99
GET       7.400        99.02
GET       7.500        99.05
GET       7.600        99.09
GET       7.700        99.14
GET       7.800        99.16
GET       7.900        99.19
GET       8.000        99.22
GET       8.100        99.25
GET       8.200        99.29
GET       8.300        99.31
GET       8.400        99.34
GET       8.500        99.36
GET       8.600        99.38
GET       8.700        99.39
GET       8.800        99.42
GET       8.900        99.44
GET       9.000        99.47
GET       9.100        99.51
GET       9.200        99.53
GET       9.300        99.54
GET       9.400        99.56
GET       9.500        99.57
GET       9.700        99.59
GET       9.800        99.59
GET       9.900        99.61
GET      10.000        99.68
GET      11.000        99.76
GET      12.000        99.80
GET      13.000        99.81
GET      14.000        99.83
GET      15.000        99.84
GET      16.000        99.89
GET      17.000        99.89
GET      19.000        99.91
GET      20.000        99.93
GET      21.000        99.94
GET      22.000        99.95
GET      24.000        99.96
GET      28.000        99.97
GET      31.000        99.98
GET      33.000        99.99
GET      45.000       100.00
---
